Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 02:26:25.497,114440.6,0.001,BTCUSDT
2025-09-30 02:26:25.497,114440.6,0.001,BTCUSDT
2025-09-30 02:26:25.497,114440.6,0.001,BTCUSDT
2025-09-30 02:26:25.497,114440.6,0.001,BTCUSDT
2025-09-30 02:26:25.497,114440.6,0.005,BTCUSDT
2025-09-30 02:26:25.527,114440.6,0.007,BTCUSDT
2025-09-30 02:26:25.527,114440.6,0.087,BTCUSDT
2025-09-30 02:26:25.527,114440.6,0.087,BTCUSDT
2025-09-30 02:26:25.527,114440.6,0.002,BTCUSDT
2025-09-30 02:26:25.527,114440.6,0.001,BTCUSDT
2025-09-30 02:26:25.527,114440.7,0.001,BTCUSDT
2025-09-30 02:26:25.527,114440.7,0.001,BTCUSDT
2025-09-30 02:26:25.527,114440.7,0.001,BTCUSDT
2025-09-30 02:26:25.527,114440.8,0.001,BTCUSDT
2025-09-30 02:26:25.527,114440.9,0.002,BTCUSDT
2025-09-30 02:26:25.527,114441.2,0.001,BTCUSDT
2025-09-30 02:26:25.527,114441.5,0.002,BTCUSDT
2025-09-30 02:26:25.527,114441.7,0.002,BTCUSDT
2025-09-30 02:26:25.548,114442.0,0.002,BTCUSDT
2025-09-30 02:26:25.548,114442.1,0.002,BTCUSDT
2025-09-30 02:26:25.548,114442.2,0.001,BTCUSDT
2025-09-30 02:26:25.548,114442.2,0.003,BTCUSDT
2025-09-30 02:26:25.548,114442.7,0.002,BTCUSDT
2025-09-30 02:26:25.548,114443.1,0.001,BTCUSDT
2025-09-30 02:26:25.548,114443.3,0.002,BTCUSDT
2025-09-30 02:26:25.548,114443.6,0.002,BTCUSDT
2025-09-30 02:26:25.893,114443.8,0.002,BTCUSDT
2025-09-30 02:26:26.132,114443.8,0.039,BTCUSDT
2025-09-30 02:26:26.300,114443.7,0.044,BTCUSDT
2025-09-30 02:26:26.471,114443.7,0.038,BTCUSDT
2025-09-30 02:26:26.721,114443.7,0.007,BTCUSDT
2025-09-30 02:26:26.794,114443.8,0.007,BTCUSDT
2025-09-30 02:26:27.167,114443.7,0.004,BTCUSDT
2025-09-30 02:26:27.324,114443.7,0.047,BTCUSDT
2025-09-30 02:26:27.474,114443.7,0.061,BTCUSDT
2025-09-30 02:26:28.195,114443.8,0.017,BTCUSDT
2025-09-30 02:26:28.302,114443.7,0.01,BTCUSDT
2025-09-30 02:26:28.328,114443.7,0.047,BTCUSDT
2025-09-30 02:26:28.699,114443.7,0.028,BTCUSDT
2025-09-30 02:26:28.952,114443.8,0.007,BTCUSDT
2025-09-30 02:26:29.022,114443.7,0.02,BTCUSDT
2025-09-30 02:26:29.122,114443.8,0.033,BTCUSDT
2025-09-30 02:26:29.123,114443.8,0.012,BTCUSDT
2025-09-30 02:26:29.124,114443.8,0.045,BTCUSDT
2025-09-30 02:26:29.124,114443.8,0.07,BTCUSDT
2025-09-30 02:26:29.125,114443.8,0.002,BTCUSDT
2025-09-30 02:26:29.125,114443.8,0.04,BTCUSDT
2025-09-30 02:26:29.126,114443.8,0.04,BTCUSDT
2025-09-30 02:26:29.126,114443.8,0.051,BTCUSDT
2025-09-30 02:26:29.132,114443.8,0.123,BTCUSDT
2025-09-30 02:26:29.133,114443.8,0.008,BTCUSDT
2025-09-30 02:26:29.133,114443.8,0.004,BTCUSDT
2025-09-30 02:26:29.133,114443.8,0.002,BTCUSDT
2025-09-30 02:26:29.242,114443.7,0.047,BTCUSDT
2025-09-30 02:26:29.326,114443.8,0.028,BTCUSDT
2025-09-30 02:26:30.167,114443.7,0.048,BTCUSDT
2025-09-30 02:26:30.186,114443.8,0.043,BTCUSDT
2025-09-30 02:26:30.192,114443.8,0.017,BTCUSDT
2025-09-30 02:26:30.616,114443.8,0.005,BTCUSDT
2025-09-30 02:26:30.721,114443.8,0.001,BTCUSDT
2025-09-30 02:26:30.895,114443.8,0.013,BTCUSDT
2025-09-30 02:26:31.093,114443.7,0.087,BTCUSDT
2025-09-30 02:26:31.141,114443.7,0.048,BTCUSDT
2025-09-30 02:26:31.406,114443.7,0.017,BTCUSDT
2025-09-30 02:26:31.987,114443.8,0.004,BTCUSDT
2025-09-30 02:26:32.178,114443.8,0.02,BTCUSDT
2025-09-30 02:26:32.188,114443.7,0.048,BTCUSDT
2025-09-30 02:26:32.713,114443.8,0.016,BTCUSDT
2025-09-30 02:26:32.713,114443.8,0.021,BTCUSDT
2025-09-30 02:26:33.162,114443.7,0.048,BTCUSDT
2025-09-30 02:26:33.181,114443.8,0.02,BTCUSDT
2025-09-30 02:26:34.197,114443.7,0.048,BTCUSDT
2025-09-30 02:26:34.560,114443.7,0.008,BTCUSDT
2025-09-30 02:26:34.703,114443.8,0.002,BTCUSDT
2025-09-30 02:26:35.332,114443.7,0.048,BTCUSDT
2025-09-30 02:26:35.693,114443.7,0.012,BTCUSDT
2025-09-30 02:26:36.136,114443.8,0.129,BTCUSDT
2025-09-30 02:26:36.136,114443.8,0.001,BTCUSDT
2025-09-30 02:26:36.136,114443.8,0.001,BTCUSDT
2025-09-30 02:26:36.136,114443.8,0.004,BTCUSDT
2025-09-30 02:26:36.340,114443.7,0.048,BTCUSDT
2025-09-30 02:26:37.159,114443.8,0.006,BTCUSDT
2025-09-30 02:26:37.333,114443.7,0.01,BTCUSDT
2025-09-30 02:26:37.333,114443.7,0.038,BTCUSDT
